Here is the CSV output:

"Workout Title","Date","Muscle Groups","Exercise","Sets"
"Back Development",2025-08-25,"Latissimus Dorsi","Dumbbell Bent-Over Rows",3
"Back Development",2025-08-25,"Trapezius","Dumbbell Shrugs",2
"Back Development",2025-08-25,"Rhomboids","Dumbbell Romanian Deadlifts",2

"Back Development",2025-08-27,"Latissimus Dorsi","Dumbbell Rows (Seated)",3
"Back Development",2025-08-27,"Trapezius","Dumbbell Face-Lift",2
"Back Development",2025-08-27,"Rhomboids","Dumbbell Upright Rows",2

"Back Development",2025-08-29,"Latissimus Dorsi","Dumbbell Bent-Over Rows",3
"Back Development",2025-08-29,"Trapezius","Dumbbell Shrugs",2
"Back Development",2025-08-29,"Rhomboids","Dumbbell Reverse Fly",2
